,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,State abbreviation,Geographic region,Level of institution,Control of institution,"Graduation rate - Bachelor degree within 6 years, total",Percent of undergraduate enrollment that are women,CITY,STABBR,ZIP,LONGITUD,LATITUDE
293,Northeastern Illinois University,5350.0,3200.0,808.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Public,20.0,55.0,Chicago,IL,60625-4699,-87.718983,41.980399
294,Olivet Nazarene University,3719.0,3048.0,753.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,63.0,Bourbonnais,IL,60914-2271,-87.875165,41.155237
295,Quincy University,1078.0,955.0,275.0,3.0,97.0,410.0,500.0,500.0,570.0,0.0,0.0,20.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,50.0,56.0,Quincy,IL,62301-2699,-91.385975,39.938897999999995
296,Robert Morris University Illinois,4080.0,857.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,80.0,51.0,Chicago,IL,60605,-87.62706800000001,41.876278000000006
297,Rockford University,1074.0,440.0,113.0,6.0,92.0,363.0,553.0,453.0,665.0,410.0,528.0,19.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,39.0,63.0,Rockford,IL,61108-2311,-89.019536,42.270639
298,Roosevelt University,3370.0,2655.0,444.0,13.0,87.0,480.0,630.0,440.0,590.0,480.0,580.0,19.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,41.0,62.0,Chicago,IL,60605-1394,-87.62495200000001,41.876055
299,Dominican University,3502.0,2100.0,497.0,3.0,99.0,490.0,540.0,480.0,620.0,490.0,570.0,20.0,24.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,63.0,66.0,River Forest,IL,60305,-87.823003,41.902678
300,University of St Francis,1706.0,877.0,237.0,4.0,96.0,480.0,610.0,440.0,620.0,460.0,600.0,21.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,68.0,Joliet,IL,60435-6188,-88.096057,41.532225
301,Saint Xavier University,10513.0,5313.0,594.0,4.0,99.0,455.0,570.0,440.0,545.0,455.0,540.0,19.0,24.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,47.0,67.0,Chicago,IL,60655,-87.714749,41.707198999999996
302,Southern Illinois University-Carbondale,11634.0,9176.0,2612.0,6.0,94.0,450.0,590.0,470.0,620.0,0.0,0.0,19.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Public,44.0,45.0,Carbondale,IL,62901-4512,-89.21727299999999,37.714193
303,Southern Illinois University-Edwardsville,7646.0,6437.0,1966.0,2.0,98.0,470.0,580.0,480.0,590.0,460.0,560.0,20.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Public,50.0,53.0,Edwardsville,IL,62026-1259,-89.99777900000001,38.793949
304,Trinity Christian College,583.0,526.0,205.0,6.0,94.0,450.0,640.0,460.0,630.0,430.0,610.0,20.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,58.0,65.0,Palos Heights,IL,60463-0929,-87.783973,41.667687
305,Trinity International University-Illinois,446.0,418.0,182.0,24.0,83.0,460.0,600.0,470.0,560.0,0.0,0.0,20.0,25.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,45.0,49.0,Deerfield,IL,60015-1283,-87.880851,42.197945000000004
306,Western Illinois University,10554.0,6260.0,1652.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Public,56.0,49.0,Macomb,IL,61455,-90.686899,40.468086
307,Wheaton College,1959.0,1346.0,598.0,58.0,62.0,600.0,720.0,610.0,700.0,600.0,710.0,27.0,32.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,87.0,51.0,Wheaton,IL,60187-5593,-88.099643,41.870176
308,Wheaton College,1959.0,1346.0,598.0,58.0,62.0,600.0,720.0,610.0,700.0,600.0,710.0,27.0,32.0,Illinois,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,87.0,51.0,Norton,MA,02766-2322,-71.18397900000001,41.966637
309,Wheaton College,3944.0,2657.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,76.0,65.0,Wheaton,IL,60187-5593,-88.099643,41.870176
310,Wheaton College,3944.0,2657.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,76.0,65.0,Norton,MA,02766-2322,-71.18397900000001,41.966637
311,Anderson University,2734.0,1516.0,444.0,76.0,62.0,470.0,570.0,470.0,570.0,0.0,0.0,21.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,60.0,Anderson,IN,46012-3495,-85.664315,40.112768
312,Anderson University,2734.0,1516.0,444.0,76.0,62.0,470.0,570.0,470.0,570.0,0.0,0.0,21.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,60.0,Anderson,SC,29621-4035,-82.64035799999999,34.5152
313,Anderson University,2190.0,1424.0,502.0,82.0,68.0,480.0,600.0,480.0,580.0,460.0,580.0,21.0,26.0,South Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,41.0,67.0,Anderson,IN,46012-3495,-85.664315,40.112768
314,Anderson University,2190.0,1424.0,502.0,82.0,68.0,480.0,600.0,480.0,580.0,460.0,580.0,21.0,26.0,South Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,41.0,67.0,Anderson,SC,29621-4035,-82.64035799999999,34.5152
315,Ball State University,17118.0,10364.0,3616.0,58.0,41.0,490.0,590.0,490.0,570.0,480.0,570.0,20.0,24.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,60.0,58.0,Muncie,IN,47306,-85.40904300000001,40.203431
316,Butler University,9357.0,6185.0,1015.0,56.0,79.0,530.0,630.0,530.0,640.0,520.0,630.0,25.0,30.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,74.0,61.0,Indianapolis,IN,46208,-86.172167,39.8374
317,Calumet College of Saint Joseph,545.0,218.0,192.0,46.0,26.0,390.0,460.0,390.0,480.0,340.0,442.0,15.0,20.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,27.0,44.0,Whiting,IN,46394,-87.494123,41.671008
318,DePauw University,5086.0,3113.0,641.0,40.0,65.0,520.0,650.0,550.0,680.0,530.0,630.0,25.0,29.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,79.0,55.0,Greencastle,IN,46135-1772,-86.860363,39.640904
319,Earlham College,1890.0,1204.0,254.0,39.0,30.0,590.0,700.0,560.0,640.0,520.0,640.0,26.0,31.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,71.0,55.0,Richmond,IN,47374-4095,-84.915037,39.823431
320,University of Evansville,2935.0,2468.0,543.0,59.0,65.0,490.0,600.0,500.0,620.0,480.0,600.0,23.0,29.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,63.0,58.0,Evansville,IN,47722,-87.531644,37.971548999999996
321,Franklin College,2221.0,1333.0,296.0,88.0,52.0,450.0,550.0,460.0,560.0,430.0,540.0,19.0,24.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,50.0,Franklin,IN,46131-2623,-86.04718199999999,39.478297999999995
322,Goshen College,770.0,424.0,167.0,68.0,38.0,470.0,620.0,480.0,630.0,0.0,0.0,21.0,30.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,70.0,57.0,Goshen,IN,46526-4794,-85.827795,41.563582000000004
323,Grace College and Theological Seminary,3450.0,2720.0,347.0,68.0,54.0,457.0,580.0,460.0,570.0,0.0,0.0,20.0,26.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,61.0,59.0,Winona Lake,IN,46590-1274,-85.814228,41.22595
324,Hanover College,3174.0,2118.0,334.0,53.0,44.0,490.0,600.0,510.0,600.0,480.0,570.0,23.0,28.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,72.0,57.0,Hanover,IN,47243,-85.460051,38.715641999999995
325,Holy Cross College,715.0,517.0,157.0,46.0,50.0,440.0,550.0,430.0,530.0,400.0,520.0,19.0,26.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,45.0,37.0,Notre Dame,IN,46556-0308,-86.253822,41.698996
326,Huntington University,784.0,763.0,227.0,68.0,64.0,440.0,570.0,440.0,560.0,423.0,550.0,21.0,27.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,62.0,57.0,Huntington,IN,46750,-85.49731700000001,40.898152
327,Indiana University-Purdue University-Indianapolis,12230.0,8510.0,3796.0,84.0,41.0,440.0,550.0,450.0,570.0,430.0,540.0,19.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,42.0,57.0,Indianapolis,IN,46202-5143,-86.172217,39.772948
328,University of Indianapolis,5313.0,4486.0,830.0,82.0,53.0,450.0,550.0,460.0,560.0,440.0,540.0,19.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,57.0,67.0,Indianapolis,IN,46227-3697,-86.133969,39.709571000000004
329,University of Southern Indiana,6204.0,4302.0,1709.0,65.0,50.0,440.0,550.0,450.0,560.0,430.0,530.0,19.0,24.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,37.0,59.0,Evansville,IN,47712,-87.677214,37.962374
330,Indiana State University,11019.0,9152.0,2661.0,74.0,41.0,400.0,510.0,400.0,510.0,390.0,490.0,16.0,22.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,42.0,54.0,Terre Haute,IN,47809,-87.40784599999999,39.469073
331,Indiana University-Kokomo,1066.0,784.0,508.0,85.0,20.0,430.0,520.0,420.0,520.0,410.0,510.0,18.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,28.0,64.0,Kokomo,IN,46902-9003,-86.132048,40.460062
332,Indiana University-South Bend,2456.0,1720.0,921.0,83.0,16.0,430.0,530.0,430.0,530.0,400.0,500.0,18.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,26.0,61.0,South Bend,IN,46615-7111,-86.221991,41.665324
333,Indiana University-Bloomington,37826.0,27300.0,7604.0,72.0,64.0,520.0,630.0,540.0,660.0,510.0,620.0,24.0,30.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,77.0,51.0,Bloomington,IN,47405-7000,-86.52655899999999,39.166090000000004
334,Indiana University-Northwest,1773.0,1352.0,830.0,68.0,39.0,390.0,510.0,390.0,510.0,390.0,500.0,17.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,24.0,66.0,Gary,IN,46408-1197,-87.337249,41.557324
335,Indiana University-Southeast,2097.0,1666.0,1026.0,64.0,48.0,420.0,530.0,430.0,520.0,410.0,510.0,17.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,30.0,58.0,New Albany,IN,47150,-85.819985,38.345191
336,Indiana University-East,1219.0,656.0,404.0,67.0,46.0,410.0,520.0,410.0,510.0,400.0,490.0,18.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Public,24.0,65.0,Richmond,IN,47374-1289,-84.881923,39.868707
337,Manchester University,2195.0,1562.0,359.0,85.0,49.0,440.0,560.0,450.0,570.0,420.0,540.0,19.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,48.0,53.0,North Manchester,IN,46962,-85.76264300000001,41.010549
338,Marian University,2064.0,1196.0,338.0,80.0,60.0,460.0,550.0,460.0,570.0,0.0,0.0,19.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,52.0,64.0,Indianapolis,IN,46222-1997,-86.20264300000001,39.813233000000004
339,Marian University,2064.0,1196.0,338.0,80.0,60.0,460.0,550.0,460.0,570.0,0.0,0.0,19.0,25.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,52.0,64.0,Fond Du Lac,WI,54935-4699,-88.420638,43.777411
340,Marian University,1021.0,772.0,251.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,Wisconsin,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,49.0,71.0,Indianapolis,IN,46222-1997,-86.20264300000001,39.813233000000004
341,Marian University,1021.0,772.0,251.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,Wisconsin,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,49.0,71.0,Fond Du Lac,WI,54935-4699,-88.420638,43.777411
342,Martin University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,12.0,68.0,Indianapolis,IN,46218-0567,-86.103953,39.798144
343,University of Notre Dame,17647.0,3936.0,2070.0,44.0,56.0,660.0,750.0,680.0,770.0,0.0,0.0,32.0,34.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,95.0,47.0,Notre Dame,IN,46556,-86.238959,41.703058
344,Oakland City University,652.0,475.0,108.0,56.0,48.0,430.0,530.0,440.0,540.0,410.0,520.0,19.0,24.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,53.0,61.0,Oakland City,IN,47660-1099,-87.35144,38.340891
345,University of Saint Francis-Fort Wayne,1908.0,1023.0,388.0,77.0,52.0,440.0,530.0,450.0,530.0,430.0,520.0,19.0,23.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,51.0,71.0,Fort Wayne,IN,46808-3994,-85.177246,41.087205
346,Saint Mary-of-the-Woods College,325.0,317.0,64.0,69.0,31.0,390.0,520.0,390.0,500.0,400.0,510.0,15.0,22.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,60.0,97.0,Saint Mary of the Woods,IN,47876-1099,-87.463791,39.508546
347,Saint Mary's College,1529.0,1310.0,437.0,45.0,77.0,500.0,610.0,490.0,600.0,500.0,600.0,23.0,28.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,71.0,100.0,Notre Dame,IN,46556,-86.256947,41.707274
348,Taylor University,1637.0,1434.0,459.0,41.0,59.0,520.0,660.0,510.0,650.0,500.0,620.0,24.0,31.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,74.0,55.0,Upland,IN,46989-1001,-85.497034,40.456246
349,Trine University,2867.0,2052.0,421.0,40.0,60.0,470.0,570.0,500.0,620.0,0.0,0.0,21.0,27.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,51.0,35.0,Angola,IN,46703-1764,-85.008009,41.632502
350,Valparaiso University,6124.0,4880.0,876.0,41.0,73.0,500.0,590.0,510.0,620.0,480.0,580.0,23.0,29.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,70.0,52.0,Valparaiso,IN,46383,-87.040172,41.462239000000004
351,Wabash College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indiana,Great Lakes IL IN MI OH WI,Four or more years,Private not-for-profit,69.0,0.0,Crawfordsville,IN,47933-0352,-86.906,40.037588
352,Briar Cliff University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,45.0,57.0,Sioux City,IA,51104,-96.428444,42.526443
353,Buena Vista University,1409.0,980.0,269.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,53.0,66.0,Storm Lake,IA,50588,-95.208529,42.642255
354,Central College,2842.0,1870.0,309.0,4.0,97.0,470.0,580.0,450.0,620.0,0.0,0.0,21.0,26.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,65.0,53.0,Pella,IA,50219,-92.92219899999999,41.401539
355,Clarke University,1250.0,969.0,181.0,6.0,96.0,470.0,530.0,475.0,550.0,0.0,0.0,20.0,25.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,70.0,66.0,Dubuque,IA,52001-3198,-90.690487,42.509475
356,Coe College,2972.0,1834.0,390.0,9.0,94.0,493.0,693.0,495.0,670.0,458.0,660.0,23.0,28.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,67.0,54.0,Cedar Rapids,IA,52402-5092,-91.658192,41.988263
357,Cornell College,2204.0,1413.0,261.0,32.0,83.0,520.0,670.0,510.0,650.0,510.0,630.0,23.0,29.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,68.0,55.0,Mount Vernon,IA,52314-1098,-91.423741,41.924554
358,Drake University,5930.0,3911.0,850.0,10.0,96.0,530.0,640.0,540.0,680.0,0.0,0.0,25.0,30.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,70.0,56.0,Des Moines,IA,50311-4505,-93.652163,41.601290000000006
359,University of Dubuque,1457.0,1128.0,447.0,15.0,87.0,410.0,490.0,390.0,520.0,0.0,0.0,17.0,22.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,47.0,43.0,Dubuque,IA,52001,-90.693428,42.49726
360,Graceland University-Lamoni,1981.0,994.0,326.0,25.0,75.0,390.0,520.0,373.0,530.0,0.0,0.0,18.0,24.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,47.0,57.0,Lamoni,IA,50140,-93.92489300000001,40.615966
361,Grand View University,807.0,770.0,298.0,8.0,94.0,380.0,450.0,400.0,480.0,360.0,440.0,19.0,23.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,48.0,58.0,Des Moines,IA,50316,-93.604352,41.620813
362,Grinnell College,3979.0,1395.0,423.0,49.0,51.0,620.0,730.0,630.0,770.0,0.0,0.0,28.0,32.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,86.0,54.0,Grinnell,IA,50112-1690,-92.722094,41.747952000000005
363,Iowa State University,16539.0,13648.0,5366.0,8.0,93.0,460.0,620.0,530.0,680.0,0.0,0.0,22.0,28.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Public,68.0,43.0,Ames,IA,50011-2103,-93.648504,42.026212
364,University of Iowa,21642.0,17363.0,4460.0,10.0,86.0,540.0,620.0,620.0,680.0,0.0,0.0,25.0,28.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Public,70.0,52.0,Iowa City,IA,52242-1316,-91.536425,41.661935
365,Loras College,1873.0,1293.0,414.0,2.0,98.0,435.0,575.0,393.0,560.0,0.0,0.0,21.0,26.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,61.0,48.0,Dubuque,IA,52004-0178,-90.679023,42.503908
366,Luther College,3490.0,2517.0,628.0,11.0,91.0,433.0,610.0,500.0,638.0,460.0,580.0,23.0,29.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,76.0,57.0,Decorah,IA,52101-1045,-91.802809,43.312304
367,Morningside College,3721.0,1986.0,367.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,58.0,53.0,Sioux City,IA,51106-1751,-96.359464,42.473890999999995
368,Mount Mercy University,542.0,371.0,154.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,73.0,69.0,Cedar Rapids,IA,52402-4797,-91.650991,42.001931
369,University of Northern Iowa,4068.0,3389.0,1722.0,2.0,94.0,0.0,0.0,500.0,640.0,0.0,0.0,20.0,24.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Public,66.0,57.0,Cedar Falls,IA,50614-0005,-92.459703,42.514922999999996
370,Northwestern College,1221.0,929.0,284.0,17.0,91.0,423.0,605.0,470.0,580.0,420.0,560.0,21.0,27.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,63.0,57.0,Orange City,IA,51041,-96.05877199999999,42.999007
371,Northwestern College,1221.0,929.0,284.0,17.0,91.0,423.0,605.0,470.0,580.0,420.0,560.0,21.0,27.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,63.0,57.0,Bridgeview,IL,60455,-87.79740600000001,41.751723999999996
372,Saint Ambrose University,2897.0,2786.0,562.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,61.0,59.0,Davenport,IA,52803-2898,-90.579854,41.54065
373,Simpson College,1302.0,1146.0,377.0,5.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,65.0,56.0,Indianola,IA,50125,-93.56347099999999,41.365503000000004
374,Upper Iowa University,1229.0,715.0,218.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,40.0,60.0,Fayette,IA,52142-1857,-91.799543,42.838283000000004
375,Wartburg College,2268.0,1761.0,451.0,11.0,87.0,380.0,540.0,440.0,590.0,380.0,520.0,21.0,26.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,63.0,53.0,Waverly,IA,50677-0903,-92.483387,42.7277
376,William Penn University,836.0,482.0,264.0,17.0,86.0,380.0,500.0,380.0,550.0,0.0,0.0,17.0,22.0,Iowa,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,34.0,50.0,Oskaloosa,IA,52577,-92.647095,41.310111
377,Baker University,870.0,756.0,235.0,9.0,100.0,440.0,545.0,490.0,600.0,410.0,555.0,21.0,26.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,52.0,57.0,Baldwin City,KS,66006-0065,-95.18734599999999,38.778712
378,Benedictine College,3515.0,2129.0,494.0,14.0,84.0,515.0,655.0,485.0,630.0,0.0,0.0,22.0,28.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,59.0,52.0,Atchison,KS,66002-1499,-95.111473,39.572646
379,Bethany College,1139.0,670.0,184.0,29.0,77.0,390.0,510.0,430.0,510.0,380.0,470.0,18.0,23.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,39.0,40.0,Lindsborg,KS,67456-1897,-97.67367,38.580597999999995
380,Bethany College,1139.0,670.0,184.0,29.0,77.0,390.0,510.0,430.0,510.0,380.0,470.0,18.0,23.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,39.0,40.0,Bethany,WV,26032,-80.560056,40.205819
381,Bethany College,1736.0,859.0,185.0,62.0,56.0,380.0,530.0,390.0,510.0,370.0,490.0,17.0,24.0,West Virginia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,48.0,44.0,Lindsborg,KS,67456-1897,-97.67367,38.580597999999995
382,Bethany College,1736.0,859.0,185.0,62.0,56.0,380.0,530.0,390.0,510.0,370.0,490.0,17.0,24.0,West Virginia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,48.0,44.0,Bethany,WV,26032,-80.560056,40.205819
383,Bethel College-North Newton,854.0,550.0,123.0,24.0,76.0,390.0,520.0,420.0,580.0,380.0,510.0,19.0,26.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,53.0,51.0,North Newton,KS,67117-1716,-97.34325600000001,38.075169
384,Central Christian College of Kansas,662.0,334.0,131.0,30.0,66.0,390.0,490.0,440.0,530.0,0.0,0.0,18.0,24.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,40.0,49.0,McPherson,KS,67460-5740,-97.66859699999999,38.357978
385,Donnelly College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,0.0,69.0,Kansas City,KS,66102,-94.650677,39.112256
386,Emporia State University,2452.0,1488.0,696.0,1.0,84.0,438.0,528.0,475.0,545.0,0.0,0.0,19.0,25.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Public,41.0,60.0,Emporia,KS,66801-5415,-96.17902099999999,38.414784000000004
387,Fort Hays State University,2511.0,2239.0,1063.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Public,44.0,59.0,Hays,KS,67601-4099,-99.34250300000001,38.872156
388,Friends University,737.0,432.0,184.0,14.0,80.0,350.0,490.0,420.0,548.0,0.0,0.0,18.0,24.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,32.0,56.0,Wichita,KS,67213,-97.367048,37.678459000000004
389,University of Kansas,12389.0,11433.0,3771.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Public,62.0,50.0,Lawrence,KS,66045,-95.247567,38.958549
390,Newman University,2348.0,1050.0,165.0,8.0,90.0,460.0,610.0,420.0,530.0,430.0,560.0,20.0,27.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,50.0,62.0,Wichita,KS,67213-2097,-97.37768,37.672643
391,Kansas State University,9839.0,9437.0,3821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Public,60.0,48.0,Manhattan,KS,66506,-96.58107700000001,39.188648
392,Kansas Wesleyan University,689.0,370.0,151.0,22.0,76.0,420.0,510.0,470.0,520.0,0.0,0.0,20.0,24.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,43.0,54.0,Salina,KS,67401-6146,-97.607973,38.813795
393,McPherson College,642.0,556.0,170.0,14.0,87.0,475.0,540.0,500.0,560.0,0.0,0.0,19.0,24.0,Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Private not-for-profit,49.0,41.0,McPherson,KS,67460-1402,-97.642996,38.371421999999995
